Concepto,Unidad,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
Cambiar,MM$,64540.6824661666,63738.1749230631,75328.8304334164,76399.66894652,79529.8763728,69216.04557488,74145.1655453143,69088.9237334698,65003.6590753947,65892.6665945929,62228.2959595849,66212.4672479445,61098.3602254642,53352.42408437,45225.8871087418,25483.3463785281,31069.4000453272,37926.7247707056,43442.4994332549,42343.0711182898,39871.8925611907,42273.4598050856,38694.8828804986,45658.6423738298,43946.7320282446,59680.3460082275,63061.5661816156,55272.4804686154,59652.3710937546,61156.381021631,65013.3977135789,62887.6711371854,60934.6367642709,72470.6549336993,76506.8354131437,77544.3164808927,72341.890436825,77553.4272207926,104335.637583557,106410.140502524,113319.106960409,111999.874223297,113612.014395321,108436.90740976,97664.1575434518,102795.508729331,94946.3090541543,83956.182421575,87957.1951942878,74231.5533952083,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROLIFEROS Y GAS LICUADO,MM$,57398.48059747,58001.05337403,69619.52527262,71240.94823844,73845.06347404,63987.87665608,69380.93750359,64374.33341987,60479.67001886,61464.71424238,57841.7687957484,62202.21702534,57150.3111524926,49844.9218230036,41506.5103240866,22102.1343091641,27852.0945940236,34833.7642933596,39855.7142751633,38261.1836014462,36064.1902987827,38114.841115754,34521.6018652494,41587.3518969546,39817.2323946314,40483.4018553275,58139.012860505,50780.59835133,55424.8611572725,56606.8733675375,59709.4415861868,57232.31453497,54907.9797985225,65744.2529854475,69666.1929241775,71122.9218377132,66231.3109915664,71474.8789073433,97833.8556353198,99215.7821882382,105139.610578936,104029.972344743,105881.207199948,99393.7116713844,89859.957978387,96497.51867421,89292.3835507211,78477.77699453,83028.22436669,70891.2587343134,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                GAS NATURAL,MM$,4992.85269248,3719.55745836,3728.0540528,3471.35791579,3836.30443401,3450.51614124999,3212.77727774,3116.90763619,3274.64991207,3152.30138316,3057.80258951,2722.44590397,2584.75033067,2259.74332426,2313.74778216,2386.48847207,2453.22973241,2375.28130482,2597.20292001,3160.57094799,2930.72103014,2927.30595527,3042.29056213,2822.94793986,2819.07237637,17601.24658937,3149.17108224,2882.52535166,3114.5719122,3364.41035027,3741.4893042,3829.94058401,4213.55448807,4805.20227458001,4426.19124311999,4240.88161378,4107.4485655,3965.23017193,4164.61661706,4900.06455716,6680.10922706001,6434.61028696,5770.42215965,7019.1171819,6034.23460478,4406.6101726,3680.73334447,4033.60174807717,2957.66981043,1869.10586642733,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROQUIMICOS,MM$,2149.3491762166,2017.56409067314,1981.2511079964,1687.36279229,1848.50846475,1777.65277755,1551.45076398428,1597.68267740983,1249.33914446467,1275.65096905294,1328.72457432654,1287.80431863451,1363.2987423016,1247.7589371064,1405.6290024952,994.723597294,764.0757188936,717.679172526,989.5822380816,921.3165688536,876.981232268,1231.3127340616,1130.9904531192,1248.3425370152,1310.4272572432,1595.69756353,1773.3822388706,1609.35676562536,1112.9380242821,1185.0973038235,1562.4668231921,1825.4160182054,1813.10247767844,1921.19967367178,2414.45124584619,2180.51302939953,2003.13087975855,2113.31814151934,2337.16533117659,2294.29375712628,1499.38715441332,1535.2915915937,1960.3850357226,2024.0785564761,1769.9649602848,1891.37988252135,1973.19215896321,1444.80367896785,1971.30101716777,1471.18879446755,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
COMERCIO EXTERIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        VOLUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                EXPORTACION DE PETROLEO CRUDO,Mbd,1071.45825806452,1475.28585714286,1150.29225806452,1023.42276666667,1204.71883870968,995.031333333333,1078.7944516129,1081.36732258065,994.605933333333,962.953129032258,1114.39536666667,1114.45532258065,1260.45625806452,1093.23368965517,1144.04980645161,1178.4496,1061.6885483871,1114.0334,1050.47964516129,1190.28374193548,1023.2074,907.789612903226,1171.1916,1242.22593548387,978.720451612903,1005.84007142857,924.724032258065,923.254866666667,1030.64474193548,1105.97983333333,1172.19983870968,1097.57922580645,982.431533333333,935.137774193548,1024.60213333333,1036.34725806452,832.097322580645,925.310964285714,904.688935483871,1023.62536666667,964.457967741935,1029.1478,1061.42516129032,914.540548387097,1021.44786666667,970.726612903226,893.487966666667,899.712096774194,979.608129032258,948.750464285714,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                EXPORTACION DE CONDENSADOS Y NAFTAS,Mbd,35.134964516129,30.1693939285714,34.4613119354839,35.8649923333333,26.4623935483871,39.5125833333333,27.7903761290323,38.0942909677419,26.377326,36.4773509677419,36.929337,36.0921506451613,35.5257661290323,15.0421589655172,6.88441161290323,6.62100433333333,16.0980219354839,14.3450333333333,5.72515322580645,13.2163090322581,4.5864,12.5574193548387,3.66993333333333,11.4506451612903,3.63293548387097,3.811,3.38963774193548,5.83293333333333,5.57041935483871,4.38613333333333,12.2187419354839,11.7216129032258,3.27203333333333,11.2246129032258,2.45263333333333,13.0211612903226,3.84974193548387,12.4462857142857,2.22764516129032,12.2323,4.01564516129032,11.6276333333333,10.8243225806452,11.8281935483871,11.8255816666667,3.02207935483871,9.84978266666667,2.57894483870968,3.41629032258065,13.1902857142857,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                EXPORTACION NETA DE GAS NATURAL (MMpcd),MMpcd,-1067.36226800047,-1058.91485500019,-1063.22839199973,-985.08246700036,-1025.51210699995,-1051.79465000029,-964.556982000436,-926.23875800027,-905.789144000124,-900.897331000245,-848.631554000399,-792.967008000329,-896.542029000054,-849.258017999671,-847.737487999608,-771.62491999971,-695.672158000234,-819.824369000378,-925.596116000214,-914.171280999713,-861.791747000414,-912.021264999939,-878.972686999748,-849.400031000316,-946.666489215487,-913.647676999699,-1002.58919544183,-934.527345999923,-928.994331000417,-990.44796100049,-977.854118000486,-964.503539000335,-795.111489000312,-872.074412999709,-805.543366000278,-711.685688000113,-672.699499000281,-602.249444999713,-619.152177000158,-643.324206999792,-710.304290000016,-588.974142999906,-416.905041999895,-508.389571000228,-438.000550999957,-506.179455000213,-391.263042000062,-283.711932999871,-283.880049999935,-275.693897000015,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROLIFEROS Y GAS LICUADO (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
